RIL2_2,RIL2_8,RIL2_3,EG4-1,RIL2_6,RIL2_1-8,RIL2_4,RIL2_7,RIL2_5,A123-0,RIL2_1
NC_029256.1_175182,NC_029256.1_174497,NC_029256.1_1132974,NC_029256.1_2924,NC_029256.1_1132974,NC_029256.1_1041523,NC_029256.1_174497,NC_029256.1_1132977,NC_029256.1_174500,NC_029256.1_174497,NC_029256.1_1041523
NC_029256.1_1084104,NC_029256.1_214352,NC_029256.1_1715116,NC_029256.1_174500,NC_029256.1_1379530,NC_029256.1_1132974,NC_029256.1_214352,NC_029256.1_1579127,NC_029256.1_214352,NC_029256.1_214352,NC_029256.1_1132974
NC_029256.1_1132562,NC_029256.1_316534,NC_029256.1_2540053,NC_029256.1_1116558,NC_029256.1_1579127,NC_029256.1_2059112,NC_029256.1_316537,NC_029256.1_1715116,NC_029256.1_316534,NC_029256.1_316534,NC_029256.1_2059112
NC_029256.1_1132974,NC_029256.1_1193504,NC_029256.1_3444991,NC_029256.1_1132974,NC_029256.1_1715116,NC_029256.1_3619714,NC_029256.1_1193504,NC_029256.1_4178205,NC_029256.1_1374936,NC_029256.1_1193504,NC_029256.1_3619714
NC_029256.1_3619549,NC_029256.1_1374936,NC_029256.1_3480371,NC_029256.1_1624376,NC_029256.1_1744282,NC_029256.1_5120693,NC_029256.1_1374936,NC_029256.1_5120693,NC_029256.1_2959989,NC_029256.1_1867482,NC_029256.1_5120693
NC_029256.1_5087201,NC_029256.1_6013623,NC_029256.1_3616725,NC_029256.1_1691678,NC_029256.1_1965199,NC_029256.1_5145816,NC_029256.1_2179875,NC_029256.1_5145816,NC_029256.1_5120693,NC_029256.1_2119030,NC_029256.1_5145816
NC_029256.1_5623713,NC_029256.1_6172232,NC_029256.1_3929764,NC_029256.1_1715116,NC_029256.1_2377589,NC_029256.1_5623713,NC_029256.1_2540053,NC_029256.1_5344031,NC_029256.1_5145816,NC_029256.1_4414780,NC_029256.1_5623713
NC_029256.1_5709004,NC_029256.1_6322807,NC_029256.1_4076463,NC_029256.1_1852226,NC_029256.1_2540053,NC_029256.1_5709001,NC_029256.1_3444991,NC_029256.1_6172232,NC_029256.1_5623716,NC_029256.1_5120693,NC_029256.1_5709001
NC_029256.1_6057238,NC_029256.1_6806760,NC_029256.1_4101862,NC_029256.1_3444991,NC_029256.1_2813135,NC_029256.1_6057238,NC_029256.1_3480371,NC_029256.1_6806760,NC_029256.1_5709004,NC_029256.1_5623713,NC_029256.1_6057238
NC_029256.1_6432233,NC_029256.1_6816414,NC_029256.1_6170366,NC_029256.1_3780848,NC_029256.1_3444994,NC_029256.1_6432233,NC_029256.1_3616725,NC_029256.1_6816414,NC_029256.1_6057241,NC_029256.1_5709001,NC_029256.1_6432233
