value,A123-0,EG4-1,RIL2_1,RIL2_1-8,RIL2_2,RIL2_3,RIL2_4,RIL2_5,RIL2_6,RIL2_7,RIL2_8
NC_029256.1_10027124,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_10233765,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_1041523,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_10615260,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_10687603,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_1084104,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_10903900,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
NC_029256.1_10907374,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_10996524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_11049517,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_1116558,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_11226134,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
NC_029256.1_11226137,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_11272005,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_1132562,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_1132974,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_1132977,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_11431995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_11453096,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_1193504,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
NC_029256.1_11939748,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_12225807,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_12249227,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
NC_029256.1_12323224,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_12375108,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_13341831,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_13418286,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
NC_029256.1_1374936,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
NC_029256.1_1379530,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_13935274,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_13988867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC_029256.1_14047375,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_14384273,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
