RIL_Start,end,name,score,strand,file
NC_029256.1_174497,174500,mPing|non-reference|NA|A123-0_1|relocate2|sr|1,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_214352,214355,mPing|non-reference|NA|A123-0_1|relocate2|sr|2,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_316534,316537,mPing|non-reference|NA|A123-0_1|relocate2|sr|3,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_1193504,1193507,mPing|non-reference|NA|A123-0_1|relocate2|sr|4,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_1867482,1867485,mPing|non-reference|NA|A123-0_1|relocate2|sr|5,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_2119030,2119033,mPing|non-reference|NA|A123-0_1|relocate2|sr|6,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_4414780,4414783,mPing|non-reference|NA|A123-0_1|relocate2|sr|7,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_5120693,5120696,mPing|non-reference|NA|A123-0_1|relocate2|sr|8,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_5623713,5623716,mPing|non-reference|NA|A123-0_1|relocate2|sr|9,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_5709001,5709004,mPing|non-reference|NA|A123-0_1|relocate2|sr|10,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_6057238,6057241,mPing|non-reference|NA|A123-0_1|relocate2|sr|11,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_6432233,6432236,mPing|non-reference|NA|A123-0_1|relocate2|sr|12,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_8326624,8326627,mPing|non-reference|NA|A123-0_1|relocate2|sr|13,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_8667985,8667988,mPing|non-reference|NA|A123-0_1|relocate2|sr|14,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_8698445,8698448,mPing|non-reference|NA|A123-0_1|relocate2|sr|15,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_15512723,15512726,mPing|non-reference|NA|A123-0_1|relocate2|sr|16,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_16327643,16327646,mPing|non-reference|NA|A123-0_1|relocate2|sr|17,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_20599334,20599337,mPing|non-reference|NA|A123-0_1|relocate2|sr|18,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_21174656,21174659,mPing|non-reference|NA|A123-0_1|relocate2|sr|19,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_21556918,21556921,mPing|non-reference|NA|A123-0_1|relocate2|sr|20,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_21565699,21565702,mPing|non-reference|NA|A123-0_1|relocate2|sr|21,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_23345273,23345276,mPing|non-reference|NA|A123-0_1|relocate2|sr|22,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_24082897,24082900,mPing|non-reference|NA|A123-0_1|relocate2|sr|23,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_24181479,24181482,mPing|non-reference|NA|A123-0_1|relocate2|sr|24,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_24252949,24252952,mPing|non-reference|NA|A123-0_1|relocate2|sr|25,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_25086304,25086307,mPing|non-reference|NA|A123-0_1|relocate2|sr|26,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_25280980,25280983,mPing|non-reference|NA|A123-0_1|relocate2|sr|27,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_25281770,25281773,mPing|non-reference|NA|A123-0_1|relocate2|sr|28,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_25866208,25866211,mPing|non-reference|NA|A123-0_1|relocate2|sr|29,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_26106793,26106796,mPing|non-reference|NA|A123-0_1|relocate2|sr|30,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_26205753,26205756,mPing|non-reference|NA|A123-0_1|relocate2|sr|31,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_27292707,27292710,mPing|non-reference|NA|A123-0_1|relocate2|sr|32,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_28161487,28161490,mPing|non-reference|NA|A123-0_1|relocate2|sr|33,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_28490064,28490067,mPing|non-reference|NA|A123-0_1|relocate2|sr|34,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_29931361,29931364,mPing|non-reference|NA|A123-0_1|relocate2|sr|35,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_29935735,29935738,mPing|non-reference|NA|A123-0_1|relocate2|sr|36,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_30235962,30235965,mPing|non-reference|NA|A123-0_1|relocate2|sr|37,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_31412431,31412434,mPing|non-reference|NA|A123-0_1|relocate2|sr|38,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_31877585,31877588,mPing|non-reference|NA|A123-0_1|relocate2|sr|39,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_32658454,32658457,mPing|non-reference|NA|A123-0_1|relocate2|sr|40,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_33282256,33282259,mPing|non-reference|NA|A123-0_1|relocate2|sr|41,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_33766058,33766061,mPing|non-reference|NA|A123-0_1|relocate2|sr|42,0,+,A123-0_1_relocate2_nonredundant.bed
